"Do not remember my cards","Nie zapamiętuj kart płatniczych, którymi płacę"
"In case of paying by card, the card's reference number will be saved for further payments.","W przypadku wybrania płaności kartą zostanie zapamiętany jej numer referencyjny dla przyszłych transakcji."
"Order details","Szczegóły zamówienia"
"Pay with Przelewy24","Zapłać z Przelewy24"
"This payment will be increased by","Płatność zostanie zwiększona o kwotę"
"Yes, I have read and accept","Tak, przeczytałem i akceptuję"
"Przelewy24.pl terms","regulamin Przelewy24"
"More payment methods","Pokaż więcej metod płatności"
"Recently used","Ostatnino używane"
"Use card","Użyj katy"
"Are You sure?","Czy jesteś pewien?"
"Payment by card","Płatność kartą"
"Cardholder name","Imię i nazwisko"
"Card number","Numer karty"
"Expiry date","Data ważności"
"Confirm","Zapłać"
"Click here to continue shopping","Kliknij tutaj aby kontynuować zakupy"
"My payment cards","Moje karty płatnicze"
"Delete","Usuń"
"Save","Zapisz"
"Payment cards not found.","Nie znaleziono kart płatniczych"
"Your payment cards are listed below.","Zapisane karty płatnicze"
"Waiting for payment.","Oczekiwanie na płatność"
"The payment has been accepted.","Płatność została zaakceptowana"
"Payment error.","Błąd płatności"
"Your card","Twoja karta"
"The link for payment with Przelewy24 has been sent by e-mail","Wysłano e-mailem link do realizacji płatności z Przelewy24"
"Thank you for your payment.","Dziękujemy za dokonaną płatność."
"IVR payment with P24","Płatność IVR z P24"
"Are you sure you want to start the payment process by Przelewy24 IVR and call the customer back?","Czy na pewno uruchomić proces płatności przez IVR Przelewy24 i oddzwonić do Klienta?"
"Send an e-mail with the link for P24","Wyślij mailem link do P24"
"Are you sure you want to send the customer an e-mail link and start the payment process with Przelewy24?","Czy na pewno wysłać mailem do Klienta link z płatnością Przelewy24?"
"Order payment","Płatność za zamówienie"
"To confirm your order make the payment by clicking on the link below","Aby potwierdzić zamówienie dokonaj płatności klikając w ponizszy link"
"Make a payment","Dokonaj płatności"
"Przelewy24 - Refunds","Przelewy24 - Zwroty"
"Send refund to Przelewy24","Wyślij zwrot do Przelewy24"
"SOAP extension is not installed!","Rozszerzenie SOAP nie jest zainstalowane!"
"Here you can send a refund to the customer. The amount of the refund may not exceed the value of the transaction and the amount of funds available in your account.","W tym miejscu możesz zlecić wysłanie zwrotu do klienta. Kwota zwrotu nie może przekraczać wartości transakcji oraz kwoty środków dostępnych na koncie."
"Amount to refund","Saldo do zwrotów"
"Error","Błąd"
"Completed","Zrealizowany"
"Pending","Oczekuje"
"Rejected","Odrzucony"
"Unknown status","Nierozpoznany status"
"This will generate outgoing transfer. Can you confirm the operation?","Zostanie wygenerowany przelew wychodzący. Czy potwierdzasz operację?"
"The payment has already been fully refunded - no funds to make further returns","Wpłata została już w całości wykorzystana - brak środków na dokonanie kolejnych zwrotów."
"Allowed amount range","Dopuszczalny zakres kwoty"
"Refund was successful","Zwrot wykonano prawidłowo"
"The payment has already been fully refunded - no funds to make further returns.","Wpłata została już w całości wykorzystana - brak środków na dokonanie kolejnych zwrotów."
