"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"Short Description:","Краткое описание:"
"Documentation:","Документация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can see description of extension features and answers to the frequently asked questions on <a href=""%s"" target=""_balnk"">our website</a>.","Описание позможностей модуля и ответы на часто задаваемые вопросы смотрите на <a href=""%s"" target=""_balnk"">нашем сайте</a>."
"You can hire our team to customize the extension. E-mail us on sales@etwebsolutions.com.<br><br>You can see a list of provided services on <a href=""%s"" target=""_blank"">our website</a>.","Вы можете нанять нашу команду для любых работ по модификации модуля. Пишите на адрес sales@etwebsolutions.com.<br><br>Со списком предоставляемых нами услуг вы можете ознакомиться <a href=""%s"" target=""_blank"">на нашем сайте</a>."
"Extension support is available through <a href=""%s"" target=""_blank"">issue tracking system</a>.<br>You can see information freely, but you will have to sign up to open a ticket.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If by some reason you can not submit a question, bug report or feature request to our ticket system, you can write us an email - support@etwebsolutions.com.","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br>Для создания задачи будет необходимо зарегистрироваться. Для просмотра информации регистрация не требуется.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."

"Payment Robokassa information","Информация о платёжном модуле Робокасса"
"Payment Robokassa Options","Настройки модуля Робокасса"
"Settings","Настройки"
"Go to Payment Methods settings section","Перейти к секции настроек Методов Оплаты"
"Extension options available in System -> Configuration -> Sales -> Payment Methods -> Robokassa by ET Web Solutions","Настройки модуля находятся в Система -> Конфигурация -> Продажи -> Методы оплаты"
"Extension information","Информация о модуле"
"Enabled","Включен"
"Title","Заголовок"
"Description","Описание"
"Sort order","Порядок сортировки"
"Robokassa Gateway options","Настройки соединения с платёжным сервисом Робокасса"
"Test Mode","Тестовый режим"
"If Enabled - module will connect Robokassa test server for transactions. This server available only for new merchants (not activated).","Если включен - модуль будет подключаться к тестовому серверу Робокассы для транзакций. Данный сервер доступен для использования только для новых продавцов (непрошедших процедуру активации)."
"Debug Mode","Режим отладки"
"Merchant Login","Логин продавца"
"If Enabled - technical information records into a log file /var/log/et_robokassa.log","Если включён - ведётся запись технической информации в файл журнала /var/log/et_robokassa.log"
"Merchant login of Robokassa merchant account","Логин продавца в Личный кабинет сервиса по приёму платежей Robokassa"
"Language","Язык"
"Language on Payment Robokassa website","Язык общения с клиентом на сайте платёжного сервиса Робокасса"
"Payment System","Платёжная валюта"
"Default payment system. Customer can choose other payment system on Robokassa website. Ensure that your chosen option is available under a contract with Robokassa. If you do not know what to choose, keep the default value - Any.","Платёжная валюта по умолчанию. Клиент сможет выбрать другую на сайте Робокасса. Убедитесь, что выбранное вами значение доступно по договору с Робокассой. Если не знаете что выбрать, оставьте значение по умолчанию - Любая."
"Restrictions","Ограничения"
"Payment from Applicable Countries","Оплата из доступных стран"
"Payment from Specific Countries","Оплата из выбранных стран"
"Minimum Order Total","Минимальная сумма заказа"
"Maximum Order Total","Максимальная сумма заказа"
"Order and Shopping Cart","Заказ и корзина"
"New Order Status","Статус нового заказа"
"Do not empty Cart","Не очищать корзину"
"If Yes - Shopping cart will be refilled if payment failed.","Если Да - корзина будет перезаполнена, если оплата не удалась."

"You will be redirected to payment form in a few seconds.","Вы будете перенаправлены на форму оплаты через несколько секунд."
"Click here, if not redirected for 30 seconds","Нажмите сюда, если вас не перенаправило в течении 30 секунд"
"Customer redirected to payment Gateway Robokassa","Клиент перенаправлен на сайт платёжного сервиса Робокасса для оплаты"
"The amount has been authorized and captured by Robokassa.","Сумма подтверждена и получена платёжным сервисом Робокасса."
"Incorrect order number.","Неправильный номер заказа."
"Payment failed","Оплата не удалась"
"Cannot add the item to shopping cart.","Невозможно добавить товар в корзину."
"English","Английский"
"Russian","Русский"
"All Allowed Countries","Все разрешённые страны"
"Specific Countries","Определённые страны"
"Any","Любая"
"Order description","Описание заказа"
"Order description on Payment Robokassa website","Описание заказа на сайте платёжного сервиса Робокасса"

"Order will receive this status right after creation. Status will be changed the moment payment is received.","Заказ получит данный статус, как только будет создан. После оплаты заказа статус изменится."
"Incorrect answer. No order number.","Неправильный ответ. Нет номера заказа."
"No answer data.","Нет данных в ответе."
"An error has occurred during the checkout process. Please, contact the store owner.","Произошла ошибка во время выполнения заказа. Пожалуйста, свяжитесь с владельцем магазина."
"Back to the main page","Вернуться на главную страницу"
"Documentation","Документация"
"POST or GET data transfer method","Метод передачи данных POST или GET"
"You have to set callback links for your shop in your account on Robokassa website to make extension work.","Для работы модуля необходимо настроить ссылки возврата на ваш магазин в личном кабинете сервиса Робокасса."
"Callback URLs","Ссылки возврата"
"Hash calculation algorithm","Алгоритм расчета хеша"
"Choose which hash calculation algorithm to use to send the data to Robokassa. Make sure that your chosen algorithm is the same as the selected in Robokassa.","Выберите алгоритм расчета хеша, с помощью которого отправлять данные Робокассе. Убедитесь, что выбранный вами алгоритм совпадает с выбранным на Робокассе."
"Shop identifier","Идентификатор магазина"
"Shop identifier from technical preferences of Robokassa merchant account","Наименование магазина из технических настроек в личном кабинете сервиса по приёму платежей Robokassa"
"Merchant Pass #1","Пароль #1"
"Merchant Pass #2","Пароль #2"
"Test mode Pass #1","Пароль тестогово режима #1"
"Test mode Pass #2","Пароль тестогово режима #2"
"Password #1 in administration section of Robokassa merchant account","Пароль #1 из раздела администрирования в Личном кабинете продавца Робокассы"
"Password #2 in administration section of Robokassa merchant account","Пароль #2 из раздела администрирования в Личном кабинете продавца Робокассы"
"Test mode password #1 in administration section of Robokassa merchant account","Пароль тестового режима #1 из раздела администрирования в личном кабинете продавца Робокассы"
"Test mode password #2 in administration section of Robokassa merchant account","Пароль тестового режима #2 из раздела администрирования в личном кабинете продавца Робокассы"
